Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\angular-csp.css                                            | CSS        |         15 |          1 |          6 |         22 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\angular.js                                                 | JavaScript |     12,185 |     17,136 |      2,447 |     31,768 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\angular.min.js                                             | JavaScript |        111 |        208 |          0 |        319 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\bower.json                                                 | JSON       |          9 |          0 |          1 |         10 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\index.js                                                   | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\angular\package.json                                               | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\.bower.json                                          | JSON       |         39 |          0 |          0 |         39 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\README.md                                            | Markdown   |         21 |          0 |         10 |         31 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\bower.json                                           | JSON       |         30 |          0 |          1 |         31 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\css\bootstrap-theme.css                              | CSS        |        581 |          6 |          1 |        588 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\css\bootstrap-theme.min.css                          | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\lib\bootstrap-css\css\bootstrap.css                                    | CSS        |      6,745 |          8 |          8 |      6,761 |
